FID_1,GEN_UID
93,158
96,262
120,445
122,157
121,181
12,435
12,442
12,134
89,221
88,221
64,130
142,361
123,297
125,411
126,433
128,307
33,337
37,337
39,337
40,337
41,337
44,337
5,356
